# YYYYMM,CRUISE_CODE,SITE_NAME,LAT,LON,DATE_TIME_XLS_LOCAL,DATE_TIME_XLS_UTC,YYYYMMDD_UTC,YYYY,MM,DD,DOY_UTC,TIME_DECIMAL_UTC,TIME_HH_DECMM_UTC,_SALINITY,TCHL_A,TSS,NAP,A_PHY_STAR_440NM,A_PHY_STAR_676NM,A_PHY_STAR_440NM_676NM,A_PHY_STAR_380NM_440NM,A_PHY_STAR_400NM_440NM,A_CDOM_SLOPE,A_CDOM_440NM,A_NAP_STAR_440NM,A_NAP_SLOPE,BB_NAP_STAR_555NM,BB_NAP_SLOPE,B_NAP_STAR_555NM,BB_B_RATIO,TSS_ORG,PHY_MICRO,PHY_NANO,PHY_PICO,PHY_SIZE_IND,COUNT_999
200309,MD03,MD_1D,-16.110983,145.647967,37895.71528,37895.29861,20031001,2003,10,1,274,0.2986111,7.1666667,34.78,0.4831722,3.9,3.8661779,0.0772274,0.0212261,3.6383204,0.7520611,0.7566918,-0.0111918,0.0866769,0.0221742,-0.0126172,0.0095997,0.83284,0.3520256,0.027,-999,0.1763661,0.2093885,0.6142454,10.4794926,0
200309,MD03,MD_2D,-16.421317,145.4463,37896.50347,37896.08681,20031002,2003,10,2,275,0.0868056,2.0833333,36.35,0.3232967,2.2,2.1773692,0.0783554,0.0200979,3.8986874,0.8894433,0.8610458,-999,-999,0.016747,-0.0132321,0.0068905,0.949985,0.2905,0.0232,-999,0.2018922,0.2392424,0.5588654,11.8496897,2
200309,MD03,MD_4D,-16.42685,145.502367,37896.55556,37896.13889,20031002,2003,10,2,275,0.1388889,3.3333333,36.33,0.3123253,1.5,1.4781372,0.067265,0.0261211,2.575119,0.4240781,0.5747137,-0.009798,0.0782799,0.0054754,-0.0106804,0.0055287,0.682113,0.1904,0.0285,-999,0.1261104,0.282738,0.5911516,8.3103638,0
200309,MD03,MD_7D,-16.538333,145.4975,37897.58333,37897.16667,20031003,2003,10,3,276,0.1666667,4,35.23,1.3561417,4.9,4.8050701,0.0799911,0.0244545,3.2710123,0.6693338,0.7725946,-0.0171146,0.3751227,0.0401251,-0.0118975,0.0084269,0.773533,0.3700204,0.0225,-999,0.447612,0.0223902,0.5299979,23.0225472,0
200309,MD03,MD_9D,-16.5405,145.543333,37897.40278,37896.98611,20031002,2003,10,2,275,0.9861111,23.6666667,35.07,0.2831038,2.1,2.0801827,0.1031778,0.0243032,4.2454381,1.1635723,0.896527,-0.0151942,0.0713517,0.025133,-0.0121147,0.0085676,0.818491,0.3751905,0.022,-999,0.2313117,0.1577904,0.6108978,12.9654362,0
200403,MD04,MD_10W,-16.266667,145.5,38077.64583,38077.22917,20040331,2004,3,31,91,0.2291667,5.5,31.3,0.8394217,2.1111111,2.0523516,0.0960714,0.0274869,3.4951737,1.0027101,0.9276457,-0.0165106,0.265114,0.1138688,-0.0134185,0.0210283,1.082466,0.9869211,0.0204,-999,0.4203107,0.152609,0.4270803,22.2056584,0
200403,MD04,MD_10W2,-16.31247,145.4715,38077.53125,38077.11458,20040331,2004,3,31,91,0.1145833,2.75,28.72,5.925508,20,19.5852144,0.0207924,0.0107849,1.92791,0.7015473,0.7751924,-0.0166645,0.800057,0.027474,-0.0146833,0.0070237,0.309871,0.17518,0.038,-999,0.2981258,0.5554118,0.1464624,17.8298093,0
200403,MD04,MD_15W,-16.426517,145.5016,38077.39583,38076.97917,20040330,2004,3,30,90,0.9791667,23.5,32.1,0.5100267,2.1111111,2.0754092,0.0673131,0.026025,2.5864811,0.6488878,0.732452,-0.0171004,0.1100509,0.0266682,-0.0116964,0.0074657,1.173946,0.3308684,0.0224,-999,0.3486028,0.1891875,0.4622097,18.8382855,0
200403,MD04,MD_2W,-16.06957,145.50668,38078.40417,38077.9875,20040331,2004,3,31,91,0.9875,23.7,32.92,0.4234766,13.1777778,13.1481344,0.0791913,0.024817,3.1910038,0.7378118,0.7597172,-0.0146115,0.0982705,0.0021726,-0.0118132,0.0008621,1.06809,0.0394528,0.0196,-999,0.1951367,0.2422456,0.5626177,11.5306789,0
200403,MD04,MD_3W,-16.10886,145.62262,38078.53472,38078.11806,20040401,2004,4,1,92,0.1180556,2.8333333,34.36,0.4068645,1,0.9715195,0.0869931,0.0334616,2.5997894,0.6860355,0.7561149,-0.0142703,0.0559203,0.0104838,-0.0103304,0.007731,1.015674,0.2398,0.0357,-999,0.4307248,0.2868519,0.2824233,23.252921,0
200403,MD04,MD_5W,-16.199883,145.475867,38079.40972,38078.99306,20040401,2004,4,1,92,0.9930556,23.8333333,32.51,0.5703479,19.3513514,19.311427,0.0775137,0.0202735,3.8234046,0.8751659,0.8887141,-0.0180408,0.0904627,0.0086478,-0.0132061,0.0029584,1.119645,0.1456487,0.0202,-999,0.3377474,0.1164606,0.545792,18.0154654,0
200403,MD04,MD_6W,-16.31247,145.4715,38080.46528,38080.04861,20040403,2004,4,3,94,0.0486111,1.1666667,-999,0.4059985,1.8,1.7715801,0.1008194,0.0302276,3.3353374,0.8816746,0.8057352,-0.0173482,0.12723,0.0277454,-0.0124067,0.0092489,1.13772,1.1823889,0.0185,-999,0.2252305,0.1863929,0.5883766,12.7818677,0
200403,MD04,MD_8W,-16.282733,145.453667,38081.36458,38080.94792,20040403,2004,4,3,94,0.9479167,22.75,-999,5.5704438,22.265625,21.8756939,0.0520623,0.0142827,3.6451392,1.1718645,1.0249127,-0.0159861,0.4258771,0.1211165,-0.0136106,0.0530616,0.679256,1.2595155,0.0404,-999,0.6365879,0.1455129,0.2178991,32.7748595,0
200408,FK04,FK2_2,-23.3061,150.8523833,38214.45833,38214.04167,20040815,2004,8,15,228,0.0416667,1,36.47,0.1907155,0.49,0.4766499,0.0692717,0.022884,3.0270791,0.668537,0.703684,-0.0102026,0.0850359,0.0566953,-0.0116026,0.0153265,0.902111,0.6479592,0.0235107,-999,0.48506,0.14181,0.37312,25.33537,0
200408,FK04,FK2_4,-23.3061,150.8523833,38214.5625,38214.14583,20040815,2004,8,15,228,0.1458333,3.5,36.47,0.1732591,0.89,0.8778719,0.0632728,0.020433,3.0965929,0.6369085,0.6758205,-0.0217442,0.0187668,0.0426335,-0.0118821,0.014386,0.9222795,0.6664045,0.0215174,-999,0.41383,0.11403,0.47214,21.73382,0
